id,original_text,reference_simple,simplified_text,SARI,FKGL_Original,FKGL_Simplified,SimplicityGain,SemanticSimilarity,HallucinationRate
1,The precipitation phenomenon is stochastic in nature.,Rain is unpredictable.,The precipitation phenomenon is stochastic in nature. It is caused by a phenomenon known as the precipitation phenomenon. The phenomenon occurs when rain falls on the surface of the Earth. The precipitation phenomenon occurs in the form of rain drops. The rain drops are then absorbed by the atmosphere.,4.090909090909091,15.797142857142859,8.70138775510204,7.095755102040819,0.9058105945587158,1.0
2,Photosynthesis is a biochemical process through which plants synthesize glucose.,Plants make food using sunlight.,Photosynthesis is a biochemical process through which plants synthesize glucose. Photosynthesis is the process by which plants produce glucose. The process is called photosynthesis in the U.S. and in other parts of the world. It is also called photoynthesis in Australia and New Zealand.,2.5641025641025643,14.270000000000007,8.223818181818185,6.046181818181822,0.9450694918632507,0.75
3,The automobile experienced a mechanical malfunction due to engine overheating.,The car broke down because the engine overheated.,"The automobile experienced a mechanical malfunction due to engine overheating. The car was taken to a nearby hospital for treatment. It was later taken off the road and returned to its original location. The vehicle was never fully recovered from its mechanical malfunction. The accident occurred in the early hours of the morning on July 1, 1959.",4.302422723475355,17.81,10.178807017543864,7.631192982456135,0.7269319295883179,1.0
4,Cognitive impairment can adversely affect information processing efficiency.,Thinking problems can slow understanding.,"Cognitive impairment can adversely affect information processing efficiency. It can also adversely affect people's ability to make decisions about what to do in a given situation. For more information on cognitive impairment, visit cognitiveimpaired.org or go to www.cognitiveimpairment.org.",3.03030303030303,21.455000000000002,14.509736842105266,6.945263157894736,0.8728774189949036,0.0
5,The meeting was postponed owing to unforeseen circumstances.,The meeting was delayed due to unexpected reasons.,"The meeting was postponed owing to unforeseen circumstances. The meeting was due to take place on Monday, but was postponed due to circumstances. It was postponed again on Tuesday, and will take place again on Wednesday. The decision was taken to postpone the meeting until later in the week.",12.460317460317462,11.130000000000003,7.248724489795919,3.881275510204084,0.8312574625015259,1.0
6,Economic inflation results in a sustained increase in the general price level.,Inflation means prices keep going up.,Economic inflation results in a sustained increase in the general price level. Economic inflation can be caused by a rise in the cost of living or a fall in the value of goods and services. It can also be the result of a decrease in the demand for goods or services.,2.2222222222222228,11.706666666666667,8.855686274509804,2.8509803921568633,0.8491039872169495,0.0
7,The student demonstrated exemplary performance in the examination.,The student did very well in the exam.,The student demonstrated exemplary performance in the examination. The student was awarded an A-plus grade for his work in the project. The project was based on a study of the history of the English language and culture. The students were also asked to write a short essay on the history and culture of England and Wales.,9.285714285714286,18.505,8.20214285714286,10.302857142857139,0.6578415632247925,1.0
8,The device is incompatible with legacy operating systems.,The device does not work with old systems.,The device is incompatible with legacy operating systems. The device is compatible with iOS and Android. It is not compatible with older versions of Windows or Mac OS X. It can only be used with the latest version of the operating system. It has a built-in camera for taking pictures.,9.806547619047619,15.555000000000003,8.134000000000004,7.420999999999999,0.6335039138793945,1.0
9,Hydration is essential for maintaining physiological balance.,Drinking water is important for health.,Hydration is essential for maintaining physiological balance. Hydration is also necessary to maintain physiological balance in the body. It is also essential to maintain a healthy body weight and body mass index (BMI) in the human body. The body needs to be hydrated in order to maintain optimum levels of body weight.,4.545454545454545,19.16857142857143,11.491538461538465,7.6770329670329645,0.8579469919204712,1.0
10,The committee reached a unanimous consensus.,Everyone on the committee agreed.,"The committee reached a unanimous consensus. The committee was made up of members from the U.S. House of Representatives, the Senate, and the House of Reps. The vote was held at the end of the first day of the second term of Congress. The panel's vote was unanimous in favor of the motion.",7.3809523809523805,12.316666666666666,5.464754716981133,6.851911949685533,0.8249795436859131,1.0
