id,expected_issue_count,detected_issue_count,expected_types,detected_types,accessibility_score
1,1,0,image-alt,,100
2,0,0,none,,100
3,1,1,link-text,link-text,95
4,1,1,form-label,form-label,95
5,1,1,link-text,link-text,95
6,0,0,none,,100
7,0,0,none,,100
8,0,0,none,,100
9,0,0,none,,100
10,3,2,image-alt;link-text;form-label,link-text;form-label,90
11,1,0,image-alt,,100
12,0,0,none,,100
13,2,2,link-text;link-text,link-text;link-text,90
14,1,0,form-label,,100
15,0,0,none,,100
16,1,1,form-label,form-label,95
17,1,0,form-label,,100
18,1,1,link-text,link-text,95
19,2,0,image-alt;image-alt,,100
20,1,1,form-label,form-label,95
21,0,0,none,,100
22,2,0,image-alt;image-alt,,100
23,1,1,form-label,form-label,95
24,2,2,link-text;form-label,link-text;form-label,90
25,1,0,image-alt,,100
26,0,0,none,,100
27,0,0,none,,100
28,1,1,link-text,link-text,95
29,2,2,form-label;form-label,form-label;form-label,90
30,1,1,form-label,form-label,95
31,2,1,link-text;image-alt,link-text,95
32,1,1,link-text,link-text,95
33,1,1,form-label,form-label,95
34,1,1,link-text,link-text,95
35,1,0,image-alt,,100
36,0,0,none,,100
37,0,0,none,,100
38,1,0,image-alt,,100
39,3,3,link-text;link-text;form-label,link-text;link-text;form-label,85
40,1,0,image-alt,,100
41,2,1,form-label;image-alt,form-label,95
42,1,1,link-text,link-text,95
43,0,0,none,,100
44,1,0,image-alt,,100
45,1,1,form-label,form-label,95
46,1,1,link-text,link-text,95
47,3,2,image-alt;form-label;link-text,link-text;form-label,90
48,0,0,none,,100
49,3,2,form-label;form-label;image-alt,form-label;form-label,90
50,3,2,image-alt;link-text;form-label,link-text;form-label,90
51,1,0,image-alt,,100
52,2,2,link-text;link-text,link-text;link-text,90
53,1,1,form-label,form-label,95
54,1,1,form-label,form-label,95
55,0,0,none,,100
56,1,0,image-alt,,100
57,2,0,image-alt;image-alt,,100
58,1,1,link-text,link-text,95
59,1,1,form-label,form-label,95
60,3,2,image-alt;form-label;form-label,form-label;form-label,90
61,3,2,link-text;image-alt;form-label,link-text;form-label,90
62,0,0,none,,100
63,1,0,form-label,,100
64,2,2,link-text;form-label,link-text;form-label,90
65,1,0,image-alt,,100
66,0,0,none,,100
67,3,3,link-text;link-text;link-text,link-text;link-text;link-text,85
68,2,1,image-alt;form-label,form-label,95
69,1,1,link-text,link-text,95
70,3,3,form-label;form-label;form-label,form-label;form-label;form-label,85
71,1,1,link-text,link-text,95
72,0,0,none,,100
73,2,2,form-label;link-text,link-text;form-label,90
74,0,0,none,,100
75,3,1,link-text;image-alt;image-alt,link-text,95
76,2,0,form-label;form-label,,100
77,1,1,form-label,form-label,95
78,3,2,image-alt;link-text;link-text,link-text;link-text,90
79,1,1,form-label,form-label,95
80,3,2,link-text;form-label;image-alt,link-text;form-label,90
81,1,0,image-alt,,100
82,0,0,none,,100
83,1,1,link-text,link-text,95
84,2,0,image-alt;image-alt,,100
85,1,1,form-label,form-label,95
86,1,1,link-text,link-text,95
87,1,0,image-alt,,100
88,1,1,form-label,form-label,95
89,3,2,link-text;image-alt;form-label,link-text;form-label,90
90,1,0,image-alt,,100
91,1,1,form-label,form-label,95
92,3,3,link-text;link-text;form-label,link-text;link-text;form-label,85
93,1,0,image-alt,,100
94,2,2,link-text;form-label,link-text;form-label,90
95,2,1,image-alt;form-label,form-label,95
96,1,1,form-label,form-label,95
97,3,2,link-text;link-text;image-alt,link-text;link-text,90
98,2,1,image-alt;form-label,form-label,95
99,1,1,link-text,link-text,95
100,3,2,image-alt;link-text;form-label,link-text;form-label,90
